Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
51,No,Travel_Rarely,Sales,21,Master,1,120,High,Male,High,Sales Executive,Very High,5441,8423,0,22,Outstanding,Very High,11,Bad,10,7,1,0
30,No,Travel_Rarely,Sales,4,College,1,121,High,Female,Medium,Sales Executive,Medium,5209,19760,1,12,Excellent,Medium,11,Good,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,Bachelor,1,124,High,Male,Medium,Healthcare Representative,Low,10673,3142,2,13,Excellent,High,21,Good,10,9,9,5
32,No,Travel_Rarely,Sales,6,Master,1,125,Medium,Male,High,Sales Executive,High,5010,24301,1,16,Excellent,Low,12,Better,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,Master,1,126,Low,Female,High,Research Director,High,13549,24001,9,12,Excellent,Low,16,Bad,4,3,0,3
24,No,Travel_Rarely,Sales,3,College,1,128,Low,Female,High,Sales Executive,High,4999,17519,0,21,Outstanding,Low,4,Good,3,2,0,2
28,No,Non-Travel,Sales,4,Bachelor,1,129,Medium,Male,High,Sales Executive,High,4221,8863,1,15,Excellent,Medium,5,Best,5,4,0,4
58,No,Travel_Rarely,Sales,10,Master,1,131,Very High,Male,High,Sales Executive,High,13872,24409,0,13,Excellent,High,38,Good,37,10,1,8
44,No,Non-Travel,Research & Development,23,Bachelor,1,132,Medium,Male,High,Laboratory Technician,Medium,2042,25043,4,12,Excellent,High,17,Best,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,Master,1,133,High,Male,High,Human Resources,Low,2073,23648,4,22,Outstanding,Very High,7,Better,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,Below College,1,134,Very High,Male,High,Research Scientist,Low,2956,15178,1,13,Excellent,Very High,1,Better,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,Bachelor,1,137,Very High,Female,Medium,Laboratory Technician,Very High,2926,19783,1,18,Excellent,Medium,1,Better,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,Master,1,138,Low,Female,High,Research Scientist,High,4809,12482,1,14,Excellent,High,16,Better,16,13,2,10
37,No,Non-Travel,Research & Development,2,College,1,139,High,Male,Medium,Healthcare Representative,Very High,5163,15850,5,14,Excellent,Very High,17,Best,1,0,0,0
59,No,Non-Travel,Human Resources,2,Master,1,140,High,Female,Medium,Manager,Very High,18844,21922,9,21,Outstanding,Very High,30,Better,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,Bachelor,1,141,Low,Female,High,Research Director,Medium,18172,9755,3,19,Excellent,Low,28,Good,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,Bachelor,1,142,High,Male,Medium,Sales Executive,High,5744,26959,1,11,Excellent,Very High,6,Better,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,Below College,1,143,Very High,Male,Medium,Research Scientist,Very High,2889,26897,1,11,Excellent,High,2,Better,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,Bachelor,1,144,Medium,Female,High,Laboratory Technician,Very High,2871,23785,1,15,Excellent,High,1,Better,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,Master,1,145,Low,Female,Medium,Healthcare Representative,Low,7484,25796,3,20,Outstanding,High,23,Good,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,Bachelor,1,147,Low,Male,Low,Laboratory Technician,High,6074,22887,1,24,Outstanding,Very High,9,Better,9,7,0,6
54,No,Non-Travel,Human Resources,26,Bachelor,1,148,Very High,Female,Very High,Manager,Very High,17328,13871,2,12,Excellent,High,23,Better,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,Below College,1,150,Medium,Male,High,Laboratory Technician,High,2774,13257,0,12,Excellent,High,6,Better,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,Master,1,151,High,Female,Medium,Research Scientist,Medium,4505,15000,6,15,Excellent,High,12,Better,1,0,0,0
37,No,Travel_Rarely,Sales,3,Bachelor,1,152,High,Male,High,Sales Executive,Very High,7428,14506,2,12,Excellent,Low,12,Better,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,Bachelor,1,153,High,Female,Medium,Manager,Low,11631,5615,2,12,Excellent,Very High,14,Better,11,10,5,8
36,No,Travel_Frequently,Sales,11,College,1,154,Medium,Female,High,Sales Executive,Very High,9738,22952,0,14,Excellent,High,10,Better,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,College,1,155,Low,Female,High,Laboratory Technician,Very High,2835,2561,5,22,Outstanding,Low,7,Better,1,0,0,0
43,No,Travel_Frequently,Sales,26,College,1,158,High,Male,High,Manager,Very High,16959,19494,1,12,Excellent,Very High,25,Best,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,Bachelor,1,159,Low,Male,Low,Research Scientist,High,2613,22310,1,25,Outstanding,High,10,Good,10,7,0,9
33,No,Non-Travel,Sales,22,College,1,160,High,Male,High,Sales Executive,Medium,6146,15480,0,13,Excellent,Low,8,Best,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,Master,1,161,Medium,Female,High,Research Scientist,Medium,4963,4510,9,18,Excellent,Low,7,Better,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,Bachelor,1,162,Low,Male,High,Research Director,High,19537,6462,7,13,Excellent,High,23,Better,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,Master,1,163,Medium,Male,Low,Sales Executive,High,6172,20739,4,18,Excellent,Medium,12,Good,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,Bachelor,1,164,High,Female,Medium,Research Scientist,Medium,2368,23300,1,19,Excellent,High,5,Good,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,Master,1,165,Very High,Female,High,Healthcare Representative,Very High,10312,3465,1,12,Excellent,Very High,40,Good,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,Below College,1,167,Very High,Male,High,Sales Representative,High,1675,26820,1,19,Excellent,Very High,0,Good,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,Below College,1,169,High,Male,High,Laboratory Technician,Very High,2523,19299,0,14,Excellent,High,3,Better,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,Master,1,170,High,Female,High,Manufacturing Director,Low,6567,5549,1,14,Excellent,High,16,Good,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,Bachelor,1,171,Medium,Female,Very High,Research Scientist,High,4739,16090,4,12,Excellent,Very High,18,Better,3,2,1,2
50,No,Travel_Frequently,Sales,12,Bachelor,1,174,High,Female,High,Sales Executive,Very High,9208,6645,4,11,Excellent,Very High,16,Better,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,Bachelor,1,175,Medium,Female,Low,Sales Executive,High,4559,24788,3,11,Excellent,High,4,Better,2,2,2,2
41,No,Travel_Rarely,Sales,9,Below College,1,176,High,Male,High,Sales Executive,High,8189,21196,3,13,Excellent,High,12,Better,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,Below College,1,177,High,Female,High,Human Resources,High,2942,8916,1,23,Outstanding,Very High,8,Better,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,College,1,178,Medium,Male,High,Manufacturing Director,Medium,4941,2819,6,20,Outstanding,Very High,7,Better,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,Master,1,179,Low,Male,Low,Manufacturing Director,Very High,10650,25150,2,15,Excellent,Very High,18,Better,4,2,0,3
39,No,Travel_Rarely,Sales,4,Master,1,182,Very High,Female,Medium,Sales Executive,High,5902,14590,4,14,Excellent,High,17,Best,15,11,5,9
25,No,Travel_Rarely,Sales,28,Bachelor,1,183,Low,Male,Medium,Sales Executive,High,8639,24835,2,18,Excellent,Very High,6,Better,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,Bachelor,1,184,High,Male,High,Human Resources,Very High,6347,13982,0,19,Excellent,Very High,12,Bad,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,Bachelor,1,190,Low,Female,High,Laboratory Technician,Low,4200,10224,7,22,Outstanding,Low,10,Best,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,Bachelor,1,192,High,Male,High,Research Scientist,Very High,3452,9752,5,13,Excellent,Medium,9,Good,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,Doctor,1,193,Very High,Female,High,Research Scientist,High,4317,2302,3,20,Outstanding,Medium,19,Better,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,Bachelor,1,194,Low,Female,High,Research Scientist,High,2632,23910,1,14,Excellent,High,5,Good,5,4,0,4
32,No,Travel_Frequently,Sales,9,College,1,195,Very High,Male,Low,Sales Executive,Very High,4668,22812,0,17,Excellent,Very High,9,Best,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,Bachelor,1,197,Very High,Female,High,Research Scientist,Low,3204,10415,5,14,Excellent,Very High,8,Better,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,Below College,1,198,Medium,Male,Medium,Laboratory Technician,Very High,2720,11162,0,13,Excellent,Very High,6,Better,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,Bachelor,1,199,Very High,Male,Medium,Manager,Low,17181,12888,4,13,Excellent,Medium,21,Good,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,Master,1,200,High,Male,High,Laboratory Technician,Low,2238,6961,2,21,Outstanding,Very High,7,Better,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,Below College,1,201,Medium,Female,High,Laboratory Technician,Medium,1483,16102,1,14,Excellent,Very High,1,Better,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,Bachelor,1,202,Medium,Female,High,Research Scientist,Medium,5605,8504,1,11,Excellent,Low,20,Better,20,7,2,13
35,No,Travel_Rarely,Sales,1,Doctor,1,204,High,Male,High,Sales Executive,Medium,7295,11439,1,13,Excellent,Low,10,Better,10,8,0,6
53,No,Travel_Rarely,Sales,6,College,1,205,Medium,Male,High,Sales Representative,High,2306,16047,2,20,Outstanding,Very High,13,Bad,7,7,4,5
45,No,Travel_Rarely,Research & Development,9,Bachelor,1,206,Medium,Male,High,Laboratory Technician,Medium,2348,10901,8,18,Excellent,High,20,Bad,17,9,0,15
32,No,Travel_Frequently,Sales,8,Bachelor,1,207,Medium,Female,High,Sales Executive,Very High,8998,15589,1,14,Excellent,Very High,9,Better,9,8,3,7
29,No,Non-Travel,Research & Development,1,Below College,1,208,Very High,Male,High,Manufacturing Director,High,4319,26283,1,13,Excellent,Low,10,Better,10,7,0,9
51,No,Travel_Rarely,Research & Development,7,Master,1,211,Medium,Male,Medium,Manufacturing Director,High,6132,13983,2,17,Excellent,High,10,Better,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,Bachelor,1,214,Medium,Female,Medium,Research Scientist,Medium,3346,11873,4,20,Outstanding,Medium,9,Good,1,0,0,0
40,No,Travel_Rarely,Sales,4,Master,1,215,High,Male,Medium,Sales Executive,Very High,10855,8552,7,11,Excellent,Low,15,Good,12,11,2,11
34,No,Travel_Frequently,Sales,2,Master,1,216,High,Female,High,Sales Representative,High,2231,11314,6,18,Excellent,Very High,6,Better,4,3,1,2
22,No,Travel_Rarely,Research & Development,19,Below College,1,217,High,Male,High,Research Scientist,Very High,2323,11992,1,24,Outstanding,Low,2,Better,2,2,2,2
27,No,Non-Travel,Research & Development,9,Bachelor,1,218,Very High,Male,High,Research Scientist,Medium,2024,5970,6,18,Excellent,Very High,6,Bad,2,2,2,2
28,No,Travel_Rarely,Research & Development,21,Bachelor,1,221,High,Male,High,Research Scientist,Very High,2713,6672,1,11,Excellent,High,5,Bad,5,2,0,2
57,No,Travel_Rarely,Research & Development,24,College,1,223,High,Male,Very High,Healthcare Representative,Very High,9439,23402,3,16,Excellent,Medium,12,Bad,5,3,1,4
27,No,Non-Travel,Research & Development,3,Bachelor,1,224,High,Male,Medium,Research Scientist,High,2566,25326,1,15,Excellent,Very High,1,Good,1,1,0,1
50,No,Travel_Rarely,Research & Development,11,Bachelor,1,226,High,Female,High,Manager,Medium,19926,17053,3,15,Excellent,Medium,21,Better,5,4,4,4
41,No,Travel_Rarely,Research & Development,14,Bachelor,1,227,Low,Male,High,Research Scientist,High,2451,4609,4,12,Excellent,Low,13,Better,9,8,1,8
30,No,Travel_Rarely,Sales,5,Bachelor,1,228,Medium,Female,High,Sales Executive,Very High,9419,8053,2,12,Excellent,High,12,Better,10,9,7,4
38,No,Travel_Rarely,Sales,1,Master,1,230,Low,Female,Medium,Sales Executive,Very High,8686,12930,4,22,Outstanding,High,12,Best,8,3,0,7
32,No,Travel_Rarely,Research & Development,6,Doctor,1,231,High,Male,High,Research Scientist,High,3038,12430,3,20,Outstanding,Low,8,Better,5,4,1,4
